timestamp,rigid_body_id,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,rot_w
1747781763.8364139,1,0.4386257827281952,0.11653115600347519,0.8351939916610718,0.00016408585361205041,0.0012338305823504925,0.7875252962112427,0.6162810325622559
1747781763.8364139,2,0.43878012895584106,0.11668217927217484,0.9219370484352112,-0.016244767233729362,0.0008125907625071704,0.790774941444397,0.6118910312652588
1747781763.8364139,3,0.43335336446762085,0.12133277952671051,1.1415493488311768,-0.019767889752984047,-0.012582135386765003,0.7942377924919128,0.6071550250053406
1747781763.8364139,4,0.42309656739234924,0.122215636074543,1.3610364198684692,0.07874535024166107,-0.0142117440700531,0.832177996635437,0.5487048029899597
1747781763.8364139,5,0.45614564418792725,0.11466211080551147,1.4948176145553589,0.1543755978345871,0.06964058429002762,0.8641274571418762,0.4739221930503845
1747781763.8364139,6,0.41164708137512207,0.15689650177955627,1.2954902648925781,0.00040240027010440826,-0.022024506703019142,0.8703729510307312,0.49190011620521545
1747781763.8364139,7,0.3391389846801758,0.27720126509666443,1.2986329793930054,-0.6172760725021362,0.31696462631225586,0.6867021322250366,0.21666567027568817
1747781763.8364139,8,0.2945135831832886,0.24816209077835083,0.9934574961662292,-0.386585533618927,0.3203749656677246,0.4574112296104431,0.7339527010917664
1747781763.8364139,9,0.3883575201034546,0.3538433313369751,0.7879626154899597,-0.46599093079566956,0.29736942052841187,0.2447637915611267,0.7965642809867859
1747781763.8364139,10,0.41762983798980713,0.32220351696014404,0.784134566783905,-0.1721917688846588,0.1428815871477127,-0.051707033067941666,0.9732734560966492
1747781763.8364139,11,0.44601815938949585,0.3177433907985687,0.7763867974281311,-0.1256873607635498,0.3684004843235016,0.11233371496200562,0.9142565727233887
1747781763.8364139,12,0.4639095962047577,0.32061275839805603,0.7585325241088867,-0.1256873607635498,0.3684004843235016,0.11233371496200562,0.9142565727233887
1747781763.8364139,13,0.4659690260887146,0.3489578366279602,0.7500923275947571,-0.33564403653144836,0.3319977819919586,0.19523169100284576,0.8596541285514832
1747781763.8364139,14,0.4974680244922638,0.35400956869125366,0.7186587452888489,-0.33564403653144836,0.3319977819919586,0.19523169100284576,0.8596541285514832
1747781763.8364139,15,0.513217568397522,0.3565354347229004,0.70294189453125,-0.33564403653144836,0.3319977819919586,0.19523169100284576,0.8596541285514832
1747781763.8364139,16,0.45198702812194824,0.3583035469055176,0.7375831604003906,-0.46599093079566956,0.29736942052841187,0.2447637915611267,0.7965642809867859
1747781763.8364139,17,0.4866359531879425,0.36386045813560486,0.7030062079429626,-0.46599093079566956,0.29736942052841187,0.2447637915611267,0.7965642809867859
1747781763.8364139,18,0.5055354237556458,0.3668915033340454,0.6841460466384888,-0.46599093079566956,0.29736942052841187,0.2447637915611267,0.7965642809867859
1747781763.8364139,19,0.43497467041015625,0.3670641779899597,0.7283244132995605,-0.46599093079566956,0.29736942052841187,0.2447637915611267,0.7965642809867859
1747781763.8364139,20,0.46647366881370544,0.3721159100532532,0.6968908309936523,-0.46599093079566956,0.29736942052841187,0.2447637915611267,0.7965642809867859
